SearchQuery,URL,Score,Position,Title,Description,CreatedAt
ВС России продолжают продвижение,https://www.aa.com.tr/ru/info/%D0%B8%D0%BD%D1%84%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D0%BA%D0%B0/27121,1,1,Diğer infografikler - Агентство Анадолу,ВС России продолжают продвижение в Украине. 01.03.2022. ВС России продолжают продвижение в Украине. Diğer infografikler. ВС России продолжают продвижение в ...,1646355090
ВС России продолжают продвижение,https://www.youtube.com/watch?v=8KQ8SJ6bmGQ,2,2,Продвижение российских войск по территории Украины ...,Подпишитесь на канал РБК:https://www.youtube.com/user/tvrbcnews?sub_confirmation=1---------------------Союз европейских ...Termes manquants :,1646355090
ВС России продолжают продвижение,https://www.youtube.com/watch?v=WV2pX1m2WLk,3,3,Наступление ВС РФ на Юге Украины продолжается ...,il y a 9 heures —,1646355090
ВС России продолжают продвижение,https://ru.krymr.com/a/news-ukraina-genshtab-perekhvat-initsiativy-rossiyskiye-voyska/31732155.html,4,4,Генштаб Украины заявил о «перехвате инициативы - Крым ...,il y a 2 jours —,1646355090
ВС России продолжают продвижение,https://tass.ru/armiya-i-opk/13872433,5,5,Минобороны России сообщило о поражении 821 объекта ...,il y a 6 jours —,1646355090
ВС России продолжают продвижение,https://realnoevremya.ru/articles/242457-peskov-rossiyskie-voyska-vozobnovili-prodvizhenie-na-ukraine,6,6,Песков: российские войска возобновили продвижение на ...,il y a 5 jours —,1646355090
ВС России продолжают продвижение,https://rostovgazeta.ru/news/society/02-03-2022/sostavlena-karta-prodvizheniya-rossiyskih-voysk-na-ukraine-na-2-marta,7,7,Карта продвижения российских войск на Украине,il y a 2 jours —,1646355090
ВС России продолжают продвижение,https://baltnews.lt/mir_novosti_/20220303/1021429783/Medlenno-no-verno-Kak-russkie-denatsifitsiruyut-Ukrainu.html,8,8,"Медленно, но верно. Как русские денацифицируют Украину",il y a 13 heures —,1646355090
ВС России продолжают продвижение,https://www.interfax.ru/world/825665,9,9,Минобороны РФ сообщило о развитии наступления сил ...,il y a 2 jours —,1646355090
ВС России продолжают продвижение,https://yandex.ru/news/instory/Svyshe_12_mln_PCRissledovanij_proveli_vPodmoskove--622b8ed28e8b27fbf5fb62de9a24f903?lr=87&content=alldocs&stid=6sujCiUvQuOLmm4lhIOi&persistent_id=167668164&from=story,10,10,Песков: войска РФ возобновили продвижение на Украине из-за ...,ВС России возобновили спецоперацию после блефа Украины о переговорах ... Песков: Войска РФ продолжают продвижение по плану после отказа Киева от переговоров.,1646355090
ВС России продолжают продвижение,https://amp.censor.net/ru/news/3320734/nashi_otvoevyvayut_gorlovku_na_chernigovskom_i_sumskom_napravleniyah_prodvijenie_vraga_ostanovleno_arestovich,11,11,"Наши отвоевывают Горловку, на Черниговском и Сумском ...",il y a 2 jours —,1646355090
ВС России продолжают продвижение,https://www.m24.ru/videos/bezopasnost/26022022/434753,12,12,Воинские подразделения ДНР и ЛНР продолжают ...,il y a 6 jours —,1646355090
ВС России продолжают продвижение,https://www.vedomosti.ru/politics/articles/2022/02/26/911104-voennaya-operatsiya-den-tretii,13,13,Военная операция на Украине. День третий - Ведомости,il y a 5 jours —,1646355090
